Rank,Company,Industry,SIC Division Code,SIC Division Name,LLM Confidence,LLM Rationale
251,Markel,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance company fits finance and real estate category.
252,Whirlpool,"Electronics, Electrical Equip.",D,Manufacturing,1,Core business involves production of goods.
253,Guardian Life,"Insurance: Life, Health (Mutual)",H,"Finance, Insurance & Real Estate",1,Insurance company fits in finance and real estate.
254,Builders FirstSource,"Building Materials, Glass",C,Construction,0.9,Company focuses on building materials for construction.
255,Ally Financial,Diversified Financials,H,"Finance, Insurance & Real Estate",1,Company operates in financial services sector.
256,Targa Resources,Pipelines,E,Transportation & Public Utilities,0.9,Pipelines are part of utility transportation services.
257,Fluor,Engineering & Construction,C,Construction,0.9,Company focuses on engineering and construction services.
258,Intuit,Computer Software,I,Services,0.9,Software development falls under services category.
259,AECOM,Engineering & Construction,C,Construction,0.9,Company focuses on engineering and construction services.
260,Edward Jones,Securities,H,"Finance, Insurance & Real Estate",1,Securities are part of finance and investment services.
261,Kohl's,General Merchandisers,G,Retail Trade,1,Retailer selling general merchandise.
262,Land O'Lakes,Food Consumer Products,D,Manufacturing,0.9,Food products are manufactured goods.
263,Principal Financial,"Insurance: Life, Health (Stock)",H,"Finance, Insurance & Real Estate",1,Insurance company fits finance and real estate category.
264,Dominion Energy,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
265,Kyndryl s,Information Technology Services,I,Services,0.9,IT services fall under the services category.
266,Republic Services,Waste Management,I,Services,0.9,Waste management is a service-oriented industry.
267,Devon Energy,"Mining, Crude-Oil Production",B,Mining,0.9,Company focuses on crude-oil production in mining sector.
268,Illinois Tool Works,Industrial Machinery,D,Manufacturing,0.9,Core business involves production of industrial machinery.
269,Northern Trust,Commercial Banks,H,"Finance, Insurance & Real Estate",1,Company operates in the banking sector.
270,Auto-Owners Insurance,Insurance: Property and Casualty (Mutual),H,"Finance, Insurance & Real Estate",1,Insurance companies fall under finance and real estate.
271,Universal Health Services,Health Care: Medical Facilities,I,Services,0.9,Health care facilities fall under services category.
272,Pacific Life,"Insurance: Life, Health (Stock)",H,"Finance, Insurance & Real Estate",1,Insurance company fits finance and real estate category.
273,EchoStar,Telecommunications,E,Transportation & Public Utilities,0.9,Telecommunications falls under utilities and public services.
274,Ecolab,Chemicals,D,Manufacturing,0.9,Ecolab produces chemical products for various industries.
275,Cheniere Energy,Pipelines,E,Transportation & Public Utilities,0.9,Pipelines are part of utility transportation services.
276,Omnicom,"Advertising, Marketing",I,Services,0.9,Advertising and marketing are service-oriented industries.
277,Texas Instruments,Semiconductors and Other Electronic Components,D,Manufacturing,0.9,Core business involves production of electronic components.
278,United States Steel,Metals,D,Manufacturing,0.9,Core business involves production of metal goods.
279,Estée Lauder,Household and Personal Products,D,Manufacturing,0.9,Household products are manufactured goods.
280,Farmers Insurance Exchange,Insurance: Property and Casualty (Mutual),H,"Finance, Insurance & Real Estate",1,Insurance company fits in finance and real estate.
281,Kenvue,Household and Personal Products,D,Manufacturing,0.9,Household products are manufactured goods.
282,IQVIA s,Health Care: Pharmacy and Other Services,I,Services,0.9,Health care services fall under the Services category.
283,Stanley Black & Decker,Industrial Machinery,D,Manufacturing,0.9,Core business involves production of industrial machinery.
284,Keurig Dr Pepper,Beverages,D,Manufacturing,0.9,"Beverages are produced goods, fitting manufacturing."
285,United Rentals,Specialty Retailers: Other,G,Retail Trade,0.9,Company operates in specialty retailing sector.
286,Consolidated Edison,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
287,Amphenol,Network and Other Communications Equipment,D,Manufacturing,0.9,Core business involves production of communication equipment.
288,Baxter International,Medical Products and Equipment,I,Services,0.9,Medical products relate to healthcare services.
289,Kinder Morgan,Pipelines,E,Transportation & Public Utilities,0.9,Pipelines are part of transportation utilities.
290,Gap,Specialty Retailers: Apparel,G,Retail Trade,1,Retailer specializing in apparel products.
291,Nordstrom,General Merchandisers,G,Retail Trade,1,Retailer in general merchandising sector.
292,Super Micro Computer,"Computers, Office Equipment",D,Manufacturing,0.9,Core business involves production of computer equipment.
293,First Citizens BancShares,Commercial Banks,H,"Finance, Insurance & Real Estate",1,"Company is a bank, fits finance category."
294,Raymond James Financial,Securities,H,"Finance, Insurance & Real Estate",1,Securities are part of finance and investment services.
295,Lam Research,Semiconductors and Other Electronic Components,D,Manufacturing,0.9,Core business involves production of electronic components.
296,Tractor Supply,Specialty Retailers: Other,G,Retail Trade,1,Retailer specializing in specialty products.
297,Casey's General Stores,Specialty Retailers: Other,G,Retail Trade,1,Retailer specializing in various products.
298,Viatris,Pharmaceuticals,D,Manufacturing,0.9,Pharmaceuticals involve the production of goods.
299,Mutual of Omaha Insurance,"Insurance: Life, Health (Mutual)",H,"Finance, Insurance & Real Estate",1,Insurance company fits in finance and real estate.
300,EMCOR,Engineering & Construction,C,Construction,0.9,Company focuses on engineering and construction services.
301,CSX,Railroads,E,Transportation & Public Utilities,1,Railroads are part of transportation services.
302,LKQ,Wholesalers: Diversified,F,Wholesale Trade,0.9,"Company is a wholesaler, fitting Wholesale Trade category."
303,Otis Worldwide,Industrial Machinery,D,Manufacturing,0.9,Core business involves production of machinery.
304,Sonic Automotive,"Automotive Retailing, Services",G,Retail Trade,0.9,Automotive retailing indicates a focus on retail trade.
305,S&P Global,Financial Data Services,I,Services,0.9,Financial data services fall under the services category.
306,Regeneron Pharmaceuticals,Pharmaceuticals,D,Manufacturing,0.9,Pharmaceuticals involve production of goods.
307,BorgWarner,Motor Vehicles & Parts,D,Manufacturing,1,Core business involves production of goods.
308,Fox,Entertainment,I,Services,0.9,Entertainment falls under the services sector.
309,Reliance,Metals,D,Manufacturing,0.9,Metals production is a manufacturing process.
310,Western & Southern Financial,"Insurance: Life, Health (Mutual)",H,"Finance, Insurance & Real Estate",1,Company operates in the insurance sector.
311,Textron,Aerospace & Defense,I,Services,0.9,Aerospace & Defense primarily involves services and technology.
312,Expedia,Internet Services and Retailing,G,Retail Trade,0.9,Retail platform for travel services and bookings.
313,Fidelity National Financial,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance company fits in finance and real estate.
314,Carvana,"Automotive Retailing, Services",G,Retail Trade,0.9,Retailing aspect dominates the automotive services.
315,DXC Technology,Information Technology Services,I,Services,0.9,IT services fall under the services category.
316,W.R. Berkley,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance company fits in finance and real estate.
317,M&T Bank,Commercial Banks,H,"Finance, Insurance & Real Estate",1,Banking falls under finance and insurance sector.
318,Dick's Sporting Goods,Specialty Retailers: Other,G,Retail Trade,1,Retailer specializing in sporting goods.
319,Xcel Energy,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
320,Fifth Third Bancorp,Commercial Banks,H,"Finance, Insurance & Real Estate",1,"Company is a bank, fits finance category."
321,Blackstone,Diversified Financials,H,"Finance, Insurance & Real Estate",0.9,Blackstone operates in finance and investment services.
322,Sempra,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities.
323,Erie Insurance,Insurance: Property and Casualty (Mutual),H,"Finance, Insurance & Real Estate",1,Insurance company fits in finance and real estate.
324,Corning,"Electronics, Electrical Equip.",D,Manufacturing,0.9,Core business involves production of electronic goods.
325,Lumen Technologies,Telecommunications,E,Transportation & Public Utilities,0.9,Telecommunications falls under utilities and public services.
326,FirstEnergy,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
327,Hess,"Mining, Crude-Oil Production",B,Mining,1,Company is involved in crude-oil production.
328,Labcorp s,Health Care: Pharmacy and Other Services,I,Services,0.9,Health care services fall under the Services category.
329,Western Digital,"Computers, Office Equipment",D,Manufacturing,0.9,Core business involves production of goods.
330,Unum,"Insurance: Life, Health (Stock)",H,"Finance, Insurance & Real Estate",1,Insurance company fits finance and real estate category.
331,DaVita,Health Care: Medical Facilities,I,Services,0.9,Health care facilities fall under services category.
332,Kellanova,Food Consumer Products,D,Manufacturing,0.9,Food products are manufactured goods.
333,Henry Schein,Wholesalers: Health Care,F,Wholesale Trade,0.9,Company is a wholesaler in health care.
334,Ryder System,Transportation and Logistics,E,Transportation & Public Utilities,1,Transportation and logistics fall under public utilities.
335,Community Health Systems,Health Care: Medical Facilities,I,Services,0.9,Health care facilities fall under services category.
336,Delek US,Petroleum Refining,D,Manufacturing,1,Petroleum refining is classified under manufacturing.
337,DTE Energy,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
338,Equitable,"Insurance: Life, Health (Stock)",H,"Finance, Insurance & Real Estate",1,Insurance company fits finance and real estate category.
339,DuPont,Chemicals,D,Manufacturing,0.9,Core business involves production of chemical goods.
340,LPL Financial s,Securities,H,"Finance, Insurance & Real Estate",1,Securities are part of finance and investment services.
341,Citizens Financial,Commercial Banks,H,"Finance, Insurance & Real Estate",1,Commercial banks fall under finance and insurance.
342,MasTec,Engineering & Construction,C,Construction,0.9,Company focuses on engineering and construction services.
343,AES,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
344,Berry Global,"Packaging, Containers",D,Manufacturing,0.9,Packaging involves production of goods.
345,Westlake,Chemicals,D,Manufacturing,0.9,Chemicals are typically manufactured goods.
346,Norfolk Southern,Railroads,E,Transportation & Public Utilities,1,Railroads are part of transportation services.
347,Air Products & Chemicals,Chemicals,D,Manufacturing,0.9,Core business involves production of chemical goods.
348,J.B. Hunt Transport Services,"Trucking, Truck Leasing",E,Transportation & Public Utilities,1,Trucking services fall under transportation utilities.
349,Ball,"Packaging, Containers",D,Manufacturing,0.9,Packaging involves production of goods.
350,Conagra Brands,Food Consumer Products,D,Manufacturing,0.9,Food products are manufactured goods.
351,Huntington Bancshares,Commercial Banks,H,"Finance, Insurance & Real Estate",1,"Company is a bank, fits finance and insurance category."
352,Hormel Foods,Food Consumer Products,D,Manufacturing,0.9,Food products are manufactured goods.
353,Eversource Energy,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
354,Alcoa,Metals,D,Manufacturing,0.9,Alcoa primarily produces metal products.
355,Entergy,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
356,Assurant,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance companies fall under finance and real estate.
357,Chewy,Internet Services and Retailing,G,Retail Trade,0.9,Retailer focused on pet products and services.
358,Wayfair,Internet Services and Retailing,G,Retail Trade,1,Retailer platform selling home goods online.
359,Crown s,"Packaging, Containers",D,Manufacturing,0.9,Packaging involves production of goods.
360,Avis Budget,"Automotive Retailing, Services",G,Retail Trade,0.9,Automotive retailing indicates a focus on retail services.
361,Intercontinental Exchange,Securities,H,"Finance, Insurance & Real Estate",0.9,Securities are primarily financial services.
362,Alaska Air,Airlines,E,Transportation & Public Utilities,1,Airlines are part of transportation services.
363,GXO Logistics,Transportation and Logistics,E,Transportation & Public Utilities,0.9,Transportation and logistics fall under public utilities.
364,AGCO,Construction and Farm Machinery,D,Manufacturing,0.9,Core business involves production of machinery.
365,Graybar Electric,Wholesalers: Diversified,F,Wholesale Trade,0.9,"Company is a wholesaler, fitting Wholesale Trade category."
366,Molson Coors Beverage,Beverages,D,Manufacturing,0.9,"Beverages are produced goods, fitting manufacturing."
367,Arthur J. Gallagher,Diversified Financials,H,"Finance, Insurance & Real Estate",0.9,Company operates in finance and insurance sectors.
368,Huntington Ingalls Industries,Aerospace & Defense,D,Manufacturing,0.9,Aerospace & Defense involves production of goods.
369,International Flavors & Fragrances,Chemicals,D,Manufacturing,0.9,Core business involves production of chemical goods.
370,Darden Restaurants,Food Services,I,Services,0.9,Food services fall under the services category.
371,Cincinnati Financial,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance company fits in finance and real estate.
372,Chipotle Mexican Grill,Food Services,I,Services,0.9,Food services fall under the services category.
373,Yum China s,Food Services,I,Services,0.9,Food services fall under the services category.
374,Las Vegas Sands,"Hotels, Casinos, Resorts",I,Services,0.9,Hotels and casinos fall under services sector.
375,Ulta Beauty,Specialty Retailers: Other,G,Retail Trade,1,Retailer specializing in beauty products.
376,Caesars Entertainment,"Hotels, Casinos, Resorts",I,Services,0.9,Hotels and casinos fall under services industry.
377,BrightSpring Health Services,Health Care: Pharmacy and Other Services,I,Services,0.9,Health care services fall under the Services category.
378,Andersons,Food Production,A,"Agriculture, Forestry & Fishing",0.9,Food production aligns with agriculture and fishing.
379,Hershey,Food Consumer Products,D,Manufacturing,0.9,Core business involves production of food products.
380,Hilton,"Hotels, Casinos, Resorts",I,Services,0.9,Hotels and resorts are service-oriented businesses.
381,Mosaic,Chemicals,D,Manufacturing,0.9,Chemicals are typically manufactured goods.
382,Airbnb,Internet Services and Retailing,G,Retail Trade,0.9,Airbnb operates as a platform for retailing accommodations.
383,Diamondback Energy,"Mining, Crude-Oil Production",B,Mining,0.9,Company focuses on crude-oil production in mining sector.
384,American Tower,Real Estate,H,"Finance, Insurance & Real Estate",0.9,Real estate companies typically fall under finance and insurance.
385,Vertex Pharmaceuticals,Pharmaceuticals,D,Manufacturing,0.9,Pharmaceuticals involve production of goods.
386,ServiceNow,Computer Software,I,Services,0.9,Software development falls under services category.
387,Owens Corning,"Building Materials, Glass",D,Manufacturing,0.9,Core business involves production of building materials.
388,Thrivent Financial for Lutherans,"Insurance: Life, Health (Mutual)",H,"Finance, Insurance & Real Estate",1,Company operates in the insurance sector.
389,Advance Auto Parts,Specialty Retailers: Other,G,Retail Trade,1,Retailer specializing in auto parts.
390,Toll Brothers,Homebuilders,C,Construction,0.9,Homebuilders primarily engage in construction activities.
391,Mohawk Industries,"Home Equipment, Furnishings",D,Manufacturing,0.9,Core business involves production of goods.
392,Motorola Solutions,Network and Other Communications Equipment,D,Manufacturing,0.9,Core business involves production of communication equipment.
393,Oshkosh,Construction and Farm Machinery,C,Construction,1,Company focuses on construction machinery production.
394,DoorDash,Internet Services and Retailing,G,Retail Trade,0.9,Company operates as a food delivery service platform.
395,Owens & Minor,Wholesalers: Health Care,F,Wholesale Trade,0.9,Company is a wholesaler in health care.
396,NVR,Homebuilders,C,Construction,0.9,Homebuilders primarily engage in construction activities.
397,Interpublic,"Advertising, Marketing",I,Services,0.9,Advertising and marketing are service-oriented industries.
398,Booz Allen Hamilton,Information Technology Services,I,Services,0.9,Consulting and IT services fall under Services.
399,Burlington Stores,Specialty Retailers: Apparel,G,Retail Trade,1,Retailer specializing in apparel products.
400,Expeditors International of Washington,Transportation and Logistics,E,Transportation & Public Utilities,0.9,Transportation and logistics fall under public utilities.
401,Lululemon athletica,Specialty Retailers: Apparel,G,Retail Trade,1,Retailer specializing in apparel products.
402,Fidelity National Information,Financial Data Services,I,Services,0.9,Financial data services fall under the services category.
403,Jefferies Financial,Diversified Financials,H,"Finance, Insurance & Real Estate",1,Company operates in financial services sector.
404,Williams,Pipelines,E,Transportation & Public Utilities,1,Pipelines are part of utility transportation services.
405,VF,Apparel,G,Retail Trade,0.9,Apparel is typically sold in retail settings.
406,FM,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance industry falls under finance and real estate.
407,Autoliv,Motor Vehicles & Parts,D,Manufacturing,1,Core business involves production of goods.
408,Westinghouse Air Brake Technologies,Industrial Machinery,D,Manufacturing,0.9,Core business involves production of machinery.
409,Public Service Enterprise,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
410,Dana,Motor Vehicles & Parts,D,Manufacturing,1,Core business involves production of goods.
411,Ebay,Internet Services and Retailing,G,Retail Trade,0.9,Ebay operates as a retail platform for goods.
412,Celanese,Chemicals,D,Manufacturing,1,"Celanese produces chemicals, fitting manufacturing category."
413,Global Payments,Financial Data Services,I,Services,0.9,Financial data services fall under the services category.
414,News Corp.,"Publishing, Printing",I,Services,0.9,Publishing is primarily a service-oriented industry.
415,THOR Industries,Motor Vehicles & Parts,D,Manufacturing,0.9,Core business involves production of goods.
416,QVC,Internet Services and Retailing,G,Retail Trade,1,Retail platform selling products online.
417,Icahn Enterprises,Diversified Financials,H,"Finance, Insurance & Real Estate",0.9,Diversified financials typically fall under finance and real estate.
418,Constellation Brands,Beverages,D,Manufacturing,0.9,"Beverages are produced goods, fitting manufacturing."
419,Quest Diagnostics,Health Care: Pharmacy and Other Services,I,Services,0.9,Health care services fall under the Services category.
420,KLA,Semiconductors and Other Electronic Components,D,Manufacturing,0.9,Core business involves production of electronic components.
421,QXO Building Products,Wholesalers: Diversified,F,Wholesale Trade,0.9,"Company is a wholesaler, fitting Wholesale Trade category."
422,APA,"Mining, Crude-Oil Production",B,Mining,1,Company is focused on crude-oil production.
423,A-Mark Precious Metals,Wholesalers: Diversified,F,Wholesale Trade,0.9,"Company is a wholesaler, fitting Wholesale Trade category."
424,Biogen,Pharmaceuticals,D,Manufacturing,0.9,Pharmaceuticals involve the production of goods.
425,Campbell's,Food Consumer Products,D,Manufacturing,0.9,Food products are manufactured goods.
426,Concentrix,Information Technology Services,I,Services,0.9,IT services fall under the services category.
427,Cintas,Diversified Outsourcing Services,I,Services,0.9,"Cintas provides various outsourcing services, fitting in Services."
428,SpartanNash,Wholesalers: Food and Grocery,F,Wholesale Trade,0.9,Company is primarily engaged in wholesale food distribution.
429,Ace Hardware,Wholesalers: Diversified,F,Wholesale Trade,0.9,Company primarily operates as a wholesaler.
430,Analog Devices,Semiconductors and Other Electronic Components,D,Manufacturing,0.9,Core business involves production of electronic components.
431,Eastman Chemical,Chemicals,D,Manufacturing,1,Core business involves production of chemical goods.
432,Interactive Brokers,Securities,H,"Finance, Insurance & Real Estate",1,Securities are part of finance and investment services.
433,Regions Financial,Commercial Banks,H,"Finance, Insurance & Real Estate",1,Company operates in the banking sector.
434,JetBlue Airways,Airlines,E,Transportation & Public Utilities,0.9,Airlines are part of transportation services.
435,Zoetis,Pharmaceuticals,D,Manufacturing,0.9,Pharmaceuticals involve production of goods.
436,KeyCorp,Commercial Banks,H,"Finance, Insurance & Real Estate",1,Company operates as a bank in the finance sector.
437,Oscar Health,Health Care: Insurance and Managed Care,H,"Finance, Insurance & Real Estate",1,Insurance industry falls under finance and real estate.
438,Ovintiv,"Mining, Crude-Oil Production",B,Mining,0.9,"Company focuses on crude-oil production, fitting mining."
439,Seaboard,Food Production,A,"Agriculture, Forestry & Fishing",0.9,Food production aligns with agriculture and fishing.
440,Hertz,"Automotive Retailing, Services",G,Retail Trade,0.9,Company primarily engages in automotive retailing services.
441,Skechers U.S.A.,Apparel,D,Manufacturing,0.9,Apparel production is a manufacturing process.
442,Altice USA,Telecommunications,E,Transportation & Public Utilities,0.9,Telecommunications falls under utilities and public services.
443,NOV,"Oil and Gas Equipment, Services",I,Services,0.9,Industry includes services related to oil and gas.
444,Graphic Packaging,"Packaging, Containers",D,Manufacturing,0.9,Core business involves production of packaging goods.
445,Avery Dennison,"Packaging, Containers",D,Manufacturing,0.9,Core business involves production of packaging materials.
446,Equinix,Real Estate,H,"Finance, Insurance & Real Estate",0.9,Real estate services align with finance and insurance.
447,Insight Enterprises,Information Technology Services,I,Services,0.9,"Company provides IT services, fitting in the Services category."
448,Sirius XM,Entertainment,I,Services,0.9,Entertainment falls under the services sector.
449,PVH,Apparel,G,Retail Trade,0.9,Apparel is primarily sold through retail channels.
450,CenterPoint Energy,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities.
451,WEC Energy,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
452,Xylem,Industrial Machinery,D,Manufacturing,0.9,Industrial machinery is primarily manufactured goods.
453,Franklin Resources,Securities,H,"Finance, Insurance & Real Estate",0.9,Securities are related to finance and investment services.
454,PPL,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
455,Workday,Computer Software,I,Services,0.9,Software development falls under services category.
456,Dover,Industrial Machinery,D,Manufacturing,1,Industrial machinery is a manufactured good.
457,Packaging Corp. of America,"Packaging, Containers",D,Manufacturing,0.9,Core business involves production of packaging goods.
458,ABM Industries,Diversified Outsourcing Services,I,Services,0.9,Outsourcing services fall under the services category.
459,Intuitive Surgical,Medical Products and Equipment,D,Manufacturing,0.9,Core business involves production of medical equipment.
460,American Financial,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance companies fall under finance and real estate.
461,Rockwell Automation,"Electronics, Electrical Equip.",D,Manufacturing,0.9,Core business involves production of electrical equipment.
462,Solventum,Medical Products and Equipment,I,Services,0.9,Medical products relate to healthcare services.
463,Old Republic International,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Company operates in the insurance sector.
464,Securian Financial,"Insurance: Life, Health (Stock)",H,"Finance, Insurance & Real Estate",1,Company operates in the insurance sector.
465,Prologis,Real Estate,H,"Finance, Insurance & Real Estate",1,Real estate companies fall under finance and real estate.
466,J.M. Smucker,Food Consumer Products,D,Manufacturing,0.9,Food products are manufactured goods.
467,Taylor Morrison Home,Homebuilders,C,Construction,0.9,Homebuilders primarily engage in construction activities.
468,XPO,Transportation and Logistics,E,Transportation & Public Utilities,0.9,Transportation and logistics fall under public utilities.
469,Voya Financial,Diversified Financials,H,"Finance, Insurance & Real Estate",1,Company operates in finance and insurance sectors.
470,Palo Alto Networks,Network and Other Communications Equipment,D,Manufacturing,0.9,Core business involves production of communication equipment.
471,Vertiv s,"Electronics, Electrical Equip.",D,Manufacturing,0.9,Electronics manufacturing aligns with production of goods.
472,Welltower,Real Estate,H,"Finance, Insurance & Real Estate",1,Real estate is primarily financial services.
473,Foot Locker,Specialty Retailers: Apparel,G,Retail Trade,1,Foot Locker is a retailer specializing in apparel.
474,Par Pacific,Petroleum Refining,D,Manufacturing,1,Petroleum refining is classified under manufacturing.
475,TransDigm,Aerospace & Defense,I,Services,0.9,Aerospace & Defense primarily involves services and support.
476,Commercial Metals,Metals,D,Manufacturing,0.9,Metals production indicates manufacturing activity.
477,Post s,Food Consumer Products,G,Retail Trade,0.9,Retailing food consumer products fits retail trade.
478,Masco,"Home Equipment, Furnishings",D,Manufacturing,0.9,Home equipment production indicates manufacturing focus.
479,Rush Enterprises,"Automotive Retailing, Services",G,Retail Trade,0.9,Company focuses on automotive retailing services.
480,KBR,Information Technology Services,I,Services,0.9,"Company provides IT services, fitting in the Services category."
481,Sprouts Farmers Market,Food & Drug Stores,G,Retail Trade,0.9,Retailer focused on food and drug sales.
482,Williams-Sonoma,Specialty Retailers: Other,G,Retail Trade,1,Company is a retailer specializing in home goods.
483,Zimmer Biomet s,Medical Products and Equipment,I,Services,0.9,Medical products relate to healthcare services.
484,CACI International,Information Technology Services,I,Services,0.9,"Company provides IT services, fitting in the Services category."
485,Microchip Technology,Semiconductors and Other Electronic Components,D,Manufacturing,0.9,Core business involves production of electronic components.
486,Watsco,Wholesalers: Diversified,F,Wholesale Trade,0.9,Company operates as a wholesaler in diversified products.
487,Newell Brands,"Home Equipment, Furnishings",D,Manufacturing,0.9,Home equipment production indicates manufacturing focus.
488,ARKO,Specialty Retailers: Other,G,Retail Trade,1,Specialty retailers fall under retail trade.
489,Sanmina,Semiconductors and Other Electronic Components,D,Manufacturing,0.9,Core business involves production of electronic components.
490,Electronic Arts,Entertainment,I,Services,0.9,"Entertainment falls under services, not manufacturing."
491,Yum Brands,Food Services,I,Services,0.9,Food services fall under the services category.
492,Fastenal,Wholesalers: Diversified,F,Wholesale Trade,0.9,Company operates as a wholesaler in diversified products.
493,CMS Energy,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
494,Monster Beverage,Beverages,D,Manufacturing,0.9,"Beverages are produced goods, fitting manufacturing."
495,Endeavor,Entertainment,I,Services,0.9,Entertainment falls under the services sector.
496,Science Applications International,Information Technology Services,I,Services,0.9,"Company provides IT services, fitting in Services category."
497,Core & Main,Wholesalers: Diversified,F,Wholesale Trade,0.9,"Company is a wholesaler, fitting Wholesale Trade category."
498,Howmet Aerospace,Aerospace & Defense,D,Manufacturing,0.9,Aerospace manufacturing falls under the manufacturing category.
498,Ingredion,Food Production,D,Manufacturing,0.9,Food production involves manufacturing processes.
500,Vulcan Materials,"Building Materials, Glass",C,Construction,0.9,Company produces materials for construction projects.
